Label,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
Green,6/15/2018,2018,6,15,Friday,23,2018-23,65.09,65.7,64.39,65.57,1990500,65.57,0.007374467,61.26428571,54.3498
Red,6/18/2018,2018,6,18,Monday,24,2018-24,63.18,64.97,62.55,64.78,1776900,64.78,-0.012048208,61.98,54.5918
Red,6/19/2018,2018,6,19,Tuesday,24,2018-24,63.98,65.11,62.73,63.08,1721100,63.08,-0.026242622,62.37,54.8186
Red,6/20/2018,2018,6,20,Wednesday,24,2018-24,63.91,64.87,63.91,64.66,1176400,64.66,0.02504759,62.82214286,55.0408
Red,6/21/2018,2018,6,21,Thursday,24,2018-24,64.76,65,61.78,61.84,1400300,61.84,-0.043612803,63.02285714,55.2134
Red,6/22/2018,2018,6,22,Friday,24,2018-24,61.94,62.43,60.65,61.46,1791000,61.46,-0.006144906,63.175,55.3706
Red,6/25/2018,2018,6,25,Monday,25,2018-25,61.7,61.95,59.49,60.75,1222500,60.75,-0.011552213,63.16928571,55.5836
Red,6/26/2018,2018,6,26,Tuesday,25,2018-25,60.74,61.51,60.14,60.8,1244100,60.8,0.000823029,63.06857143,55.8074
Red,6/27/2018,2018,6,27,Wednesday,25,2018-25,60.91,61.8,60.42,60.7,1055100,60.7,-0.001644704,63.01,56.0284
Red,6/28/2018,2018,6,28,Thursday,25,2018-25,57.62,59.39,57.5,58.62,3923700,58.62,-0.034266919,62.73785714,56.2246
Red,6/29/2018,2018,6,29,Friday,25,2018-25,58.85,59.37,57.05,59.06,6212800,59.06,0.007506005,62.48142857,56.4666
Green,7/2/2018,2018,7,2,Monday,26,2018-26,58.15,60.57,58.15,60.25,1816800,60.25,0.020148984,62.18928571,56.728
Green,7/3/2018,2018,7,3,Tuesday,26,2018-26,60.68,61.11,59.66,60.29,518300,60.29,0.000663917,61.925,56.975
Green,7/5/2018,2018,7,5,Thursday,26,2018-26,60.28,61.02,59.59,60.8,1138600,60.8,0.008459081,61.61857143,57.2374
Green,7/6/2018,2018,7,6,Friday,26,2018-26,60.69,62.4,60.42,62.33,809200,62.33,0.025164523,61.38714286,57.534
Green,7/9/2018,2018,7,9,Monday,27,2018-27,62.53,62.9,60.69,61.67,1707600,61.67,-0.010588865,61.165,57.8212
Green,7/10/2018,2018,7,10,Tuesday,27,2018-27,61.97,62.11,60.61,60.94,811800,60.94,-0.011837182,61.01214286,58.0948
Green,7/11/2018,2018,7,11,Wednesday,27,2018-27,60.32,61.96,59.27,61.64,863100,61.64,0.011486708,60.79642857,58.3578
Green,7/12/2018,2018,7,12,Thursday,27,2018-27,61.81,63.33,61.74,63.06,931500,63.06,0.023037022,60.88357143,58.6246
Green,7/13/2018,2018,7,13,Friday,27,2018-27,63.06,63.44,62.03,62.81,1299900,62.81,-0.003964478,60.98,58.8642
Red,7/16/2018,2018,7,16,Monday,28,2018-28,62.91,63.26,62.64,62.9,844000,62.9,0.001432909,61.13357143,59.092
Red,7/17/2018,2018,7,17,Tuesday,28,2018-28,62.33,63.86,62.33,63.53,997800,63.53,0.01001585,61.32857143,59.3056
Red,7/18/2018,2018,7,18,Wednesday,28,2018-28,63.5,63.65,62.45,62.96,600100,62.96,-0.008972139,61.49,59.4466
Red,7/19/2018,2018,7,19,Thursday,28,2018-28,62.84,63.36,62.6,62.92,514100,62.92,-0.00063534,61.79714286,59.603
Red,7/20/2018,2018,7,20,Friday,28,2018-28,63.08,63.33,61.86,61.96,767900,61.96,-0.015257454,62.00428571,59.7146
Red,7/23/2018,2018,7,23,Monday,29,2018-29,62.03,63.08,61.95,62.97,540600,62.97,0.016300872,62.19857143,59.8674
Red,7/24/2018,2018,7,24,Tuesday,29,2018-29,61.63,63.19,60.48,60.8,1182600,60.8,-0.034460886,62.235,59.9852
Red,7/25/2018,2018,7,25,Wednesday,29,2018-29,61.01,62.1,60.85,62.03,1285600,62.03,0.020230263,62.32285714,60.1328
Red,7/26/2018,2018,7,26,Thursday,29,2018-29,61.03,62.33,60.3,61.98,1029600,61.98,-0.000806045,62.29785714,60.3304
Red,7/27/2018,2018,7,27,Friday,29,2018-29,61.75,61.94,57.12,57.78,3046800,57.78,-0.067763811,62.02,60.426
Red,7/30/2018,2018,7,30,Monday,30,2018-30,57.7,57.77,55.45,55.72,2095100,55.72,-0.035652441,61.64714286,60.498
Red,7/31/2018,2018,7,31,Tuesday,30,2018-30,56.16,56.44,54.75,55.7,1717300,55.7,-0.000358938,61.22285714,60.5786
Red,8/1/2018,2018,8,1,Wednesday,30,2018-30,56.1,57,54.95,56.68,1312600,56.68,0.017594237,60.76714286,60.6748
Red,8/2/2018,2018,8,2,Thursday,30,2018-30,56.22,57.64,55.31,57.11,1516800,57.11,0.007586468,60.36,60.7798
Red,8/3/2018,2018,8,3,Friday,30,2018-30,57.35,57.74,56.25,57.57,1135000,57.57,0.008054614,59.97928571,60.84
Red,8/6/2018,2018,8,6,Monday,31,2018-31,57.53,58.75,56.93,58.15,3748800,58.15,0.010074726,59.595,60.883
Red,8/7/2018,2018,8,7,Tuesday,31,2018-31,48.94,49.98,47.83,49.56,18720400,49.56,-0.147721422,58.63785714,60.7512
Red,8/8/2018,2018,8,8,Wednesday,31,2018-31,50.04,51.58,49.65,50.95,4599900,50.95,0.028046811,57.78285714,60.675
Red,8/9/2018,2018,8,9,Thursday,31,2018-31,51.11,51.49,49.45,50.95,3573600,50.95,0,56.99642857,60.5416
Red,8/10/2018,2018,8,10,Friday,31,2018-31,50.16,50.38,48.46,48.98,3816300,48.98,-0.038665377,55.99714286,60.3546
Red,8/13/2018,2018,8,13,Monday,32,2018-32,49.04,49.12,47.23,47.34,3028500,47.34,-0.033483054,55.03571429,60.1208
Red,8/14/2018,2018,8,14,Tuesday,32,2018-32,47.73,48.19,46.74,48,1639700,48,0.013941698,54.03357143,59.8942
Red,8/15/2018,2018,8,15,Wednesday,32,2018-32,47.47,48.36,46.28,46.7,2299900,46.7,-0.027083312,52.94214286,59.6116
Red,8/16/2018,2018,8,16,Thursday,32,2018-32,47.24,47.59,46.54,46.63,2050300,46.63,-0.001498929,52.14571429,59.3
Red,8/17/2018,2018,8,17,Friday,32,2018-32,46.73,46.73,45.51,46.27,1476000,46.27,-0.007720373,51.47071429,58.995
Green,8/20/2018,2018,8,20,Monday,33,2018-33,46.13,48.4,46,47.98,1933900,47.98,0.036956992,50.91928571,58.706
Green,8/21/2018,2018,8,21,Tuesday,33,2018-33,48.01,48.95,48.01,48.47,2332300,48.47,0.010212609,50.33285714,58.4224
Green,8/22/2018,2018,8,22,Wednesday,33,2018-33,48.24,49.1,47.81,47.9,1298600,47.9,-0.011759831,49.675,58.0936
Green,8/23/2018,2018,8,23,Thursday,33,2018-33,47.72,48.5,47.37,47.47,1018600,47.47,-0.008977056,48.95357143,57.7632
Green,8/24/2018,2018,8,24,Friday,33,2018-33,47.47,47.9,46.92,46.97,1709700,46.97,-0.010532968,48.155,57.4008
Green,8/27/2018,2018,8,27,Monday,34,2018-34,47.18,48.01,47.16,47.74,1275700,47.74,0.016393464,48.025,57.0442
Green,8/28/2018,2018,8,28,Tuesday,34,2018-34,48,48.46,47.27,47.93,910700,47.93,0.003979849,47.80928571,56.7072
Green,8/29/2018,2018,8,29,Wednesday,34,2018-34,47.85,48.06,47.75,47.99,1067400,47.99,0.001251867,47.59785714,56.4054
Green,8/30/2018,2018,8,30,Thursday,34,2018-34,48,48.66,47.87,48.22,1179900,48.22,0.004792644,47.54357143,56.0766
Green,8/31/2018,2018,8,31,Friday,34,2018-34,48.26,48.82,47.6,48.65,3709000,48.65,0.008917482,47.63714286,55.8128
Red,9/4/2018,2018,9,4,Tuesday,35,2018-35,48.55,48.9,47.56,47.69,1447300,47.69,-0.019732846,47.615,55.5374
Red,9/5/2018,2018,9,5,Wednesday,35,2018-35,47.82,48.27,46.91,47.68,1443200,47.68,-0.000209667,47.685,55.276
Red,9/6/2018,2018,9,6,Thursday,35,2018-35,47.68,47.98,43.87,44.63,3174300,44.63,-0.0639681,47.54214286,54.9526
Red,9/7/2018,2018,9,7,Friday,35,2018-35,44.58,46.12,44.52,44.92,2634600,44.92,0.006497804,47.44571429,54.637
Green,9/10/2018,2018,9,10,Monday,36,2018-36,45,46.2,44.6,46.11,1355800,46.11,0.026491608,47.31214286,54.3868
Green,9/11/2018,2018,9,11,Tuesday,36,2018-36,46.05,47.37,45.94,47.12,1022700,47.12,0.021904098,47.21571429,54.148
Green,9/12/2018,2018,9,12,Wednesday,36,2018-36,47.1,47.61,45.68,47.53,1062600,47.53,0.008701189,47.18928571,53.8936
Green,9/13/2018,2018,9,13,Thursday,36,2018-36,47.99,48.24,46.31,46.6,1305500,46.6,-0.019566611,47.12714286,53.6198
Green,9/14/2018,2018,9,14,Friday,36,2018-36,46.9,48.03,46.23,46.54,1492900,46.54,-0.001287489,47.09642857,53.3346
Red,9/17/2018,2018,9,17,Monday,37,2018-37,46.32,46.32,43.97,44.25,2331100,44.25,-0.049205005,46.84714286,52.973
Red,9/18/2018,2018,9,18,Tuesday,37,2018-37,44.32,45.37,44.2,44.64,1878200,44.64,0.008813537,46.61214286,52.6324
Red,9/19/2018,2018,9,19,Wednesday,37,2018-37,44.26,44.88,43.35,44.11,1342300,44.11,-0.011872715,46.335,52.2958
Red,9/20/2018,2018,9,20,Thursday,37,2018-37,44.62,44.89,43.5,44.67,2211200,44.67,0.012695466,46.08142857,51.9564
Red,9/21/2018,2018,9,21,Friday,37,2018-37,45.42,45.5,42.54,42.81,4455100,42.81,-0.041638618,45.66428571,51.5514
Green,9/24/2018,2018,9,24,Monday,38,2018-38,42.71,43.17,41.75,43.01,2046600,43.01,0.004788554,45.33,51.1554
Green,9/25/2018,2018,9,25,Tuesday,38,2018-38,43.19,44.56,42.91,43.72,1585100,43.72,0.016389678,45.04714286,50.7718
Green,9/26/2018,2018,9,26,Wednesday,38,2018-38,43.86,44.81,42.24,42.48,2438700,42.48,-0.028362328,44.89357143,50.3508
Green,9/27/2018,2018,9,27,Thursday,38,2018-38,42.53,43.26,42.5,43.21,1093700,43.21,0.017184534,44.77142857,49.9558
Green,9/28/2018,2018,9,28,Friday,38,2018-38,43.06,44.29,42.76,44.25,1587000,44.25,0.024068526,44.63857143,49.5824
Red,10/1/2018,2018,10,1,Monday,39,2018-39,44.33,44.56,42.1,42.3,2417700,42.3,-0.044067819,44.29428571,49.1892
Red,10/2/2018,2018,10,2,Tuesday,39,2018-39,42.07,42.6,41.99,42.26,1348600,42.26,-0.00094565,43.91785714,48.775
Red,10/3/2018,2018,10,3,Wednesday,39,2018-39,42.25,42.61,40.81,42.6,2254500,42.6,0.008045433,43.63214286,48.411
Red,10/4/2018,2018,10,4,Thursday,39,2018-39,42.5,43.12,41.25,42.61,2001800,42.61,0.000234812,43.35142857,48.0226
Red,10/5/2018,2018,10,5,Friday,39,2018-39,42.62,43.47,41.06,41.82,2435600,41.82,-0.018540272,43.17785714,47.6194
Red,10/8/2018,2018,10,8,Monday,40,2018-40,41.48,41.9,40.28,40.91,1612700,40.91,-0.021759923,42.91142857,47.282
Red,10/9/2018,2018,10,9,Tuesday,40,2018-40,40.7,41.19,39.31,39.45,2149700,39.45,-0.035688071,42.57857143,46.9566
Red,10/10/2018,2018,10,10,Wednesday,40,2018-40,39.16,39.21,37.35,38.34,3797200,38.34,-0.028136907,42.12642857,46.6094
Red,10/11/2018,2018,10,11,Thursday,40,2018-40,38,39.59,37.86,38.16,2816100,38.16,-0.004694836,41.79428571,46.239
Red,10/12/2018,2018,10,12,Friday,40,2018-40,39.27,39.52,37.97,38.56,2744700,38.56,0.010482206,41.47642857,45.868
Green,10/15/2018,2018,10,15,Monday,41,2018-41,38.56,39.12,38,38.94,1248600,38.94,0.00985472,41.135,45.4954
Green,10/16/2018,2018,10,16,Tuesday,41,2018-41,39.24,41.74,39.02,41.31,2329100,41.31,0.060862919,41.05142857,45.1586
Green,10/17/2018,2018,10,17,Wednesday,41,2018-41,41.48,41.8,40.29,41.5,1447800,41.5,0.004599346,40.92928571,44.9974
Green,10/18/2018,2018,10,18,Thursday,41,2018-41,41.27,41.94,39.71,40.15,2698100,40.15,-0.032530072,40.63642857,44.7814
Green,10/19/2018,2018,10,19,Friday,41,2018-41,40.7,41.01,38.84,39.22,1713100,39.22,-0.023163162,40.41642857,44.5468
Red,10/22/2018,2018,10,22,Monday,42,2018-42,39.14,40.35,39.11,40.02,1809600,40.02,0.02039773,40.25642857,44.3676
Red,10/23/2018,2018,10,23,Tuesday,42,2018-42,39.2,40.91,37.81,40.6,1715600,40.6,0.014492704,40.11357143,44.2328
Red,10/24/2018,2018,10,24,Wednesday,42,2018-42,40.15,41.59,39,39.29,2156500,39.29,-0.032265938,39.87642857,44.0586
Red,10/25/2018,2018,10,25,Thursday,42,2018-42,39.87,41.83,39.61,41.65,1841100,41.65,0.060193381,39.86428571,43.9576
Red,10/26/2018,2018,10,26,Friday,42,2018-42,40.44,40.88,38.13,38.3,2786600,38.3,-0.080542554,39.67785714,43.791
Green,10/29/2018,2018,10,29,Monday,43,2018-43,39.14,39.55,36.52,37.06,2849800,37.06,-0.032375928,39.50714286,43.6068
Green,10/30/2018,2018,10,30,Tuesday,43,2018-43,37,39.46,36.81,39.26,2906900,39.26,0.059363112,39.57285714,43.4324
Green,10/31/2018,2018,10,31,Wednesday,43,2018-43,40.12,41.69,39.79,40.26,2849000,40.26,0.025471219,39.72285714,43.2682
Green,11/1/2018,2018,11,1,Thursday,43,2018-43,40.15,42.09,40.13,41.94,2253400,41.94,0.04172879,39.96428571,43.149
Green,11/2/2018,2018,11,2,Friday,43,2018-43,41.41,42.85,41.13,41.58,2125100,41.58,-0.00858362,40.15285714,43.0312
Red,11/5/2018,2018,11,5,Monday,44,2018-44,41.24,41.24,39.11,40.45,2823500,40.45,-0.02717655,40.09142857,42.9008
Red,11/6/2018,2018,11,6,Tuesday,44,2018-44,40.74,41.93,40.43,41.04,4032200,41.04,0.014585908,40.05857143,42.7668
Red,11/7/2018,2018,11,7,Wednesday,44,2018-44,32.76,33,29.98,29.99,21847300,29.99,-0.26924953,39.33285714,42.408
